country,year,quantity
Central African Republic,2006,0.1
Chad,2006,0
Chile,2006,3.9
China,2006,4.9
Colombia,2006,1.4
Comoros,2006,0.2
Republic Dominican Congo,2006,0
Congo,2006,0.4
Costa Rica,2006,1.7
Cote d'Ivoire,2006,0.4
Croatia,2006,5.2
Cuba,2006,2.4
Curacao,2006,0
Cyprus,2006,7.4
Czech Republic,2006,12
Denmark,2006,10.1
Djibouti,2006,0.6
Dominica,2006,1.6
Dominican Republic,2006,2.2
Ecuador,2006,2.1
Egypt,2006,2.4
El Salvador,2006,1.1
Equatorial Guinea,2006,7.6
Eritrea,2006,0.1
Estonia,2006,12
Ethiopia,2006,0.1
Faeroe Islands,2006,15.5
Fiji,2006,1.6
Finland,2006,12.6
France,2006,6
French Polynesia,2006,3.3
Gabon,2006,1.4
Gambia,2006,0.2
Georgia,2006,1.4
Germany,2006,9.8
Ghana,2006,0.4
Greece,2006,8.7
Greenland,2006,11
Grenada,2006,2.2
Guam,2006,0
Guatemala,2006,1
Guinea,2006,0.1
Guinea-Bissau,2006,0.1
Guyana,2006,1.7
Haiti,2006,0.2
Honduras,2006,1
China Hong Kong SAR,2006,5.6
Hungary,2006,5.7
Iceland,2006,7.5
India,2006,1.3
Indonesia,2006,1.5
Iran,2006,7.2
Iraq,2006,3.5
Ireland,2006,10.2
Isle of Man,2006,0
Israel,2006,9.4
Italy,2006,8.1
Jamaica,2006,4.5
Japan,2006,9.6
Jordan,2006,3.7
Kazakhstan,2006,12.6
Kenya,2006,0.3
Kiribati,2006,0.8
Korea,2006,3.5
Republic of Korea,2006,9.7
Kosovo,2006,0
Kuwait,2006,30.5
Kyrgyz Republic,2006,1
Lao PDR,2006,0.3
Latvia,2006,3.4
Lebanon,2006,3.6
Lesotho,2006,0
Liberia,2006,0.2
Libya,2006,9.5
Liechtenstein,2006,0
Lithuania,2006,4.4
Luxembourg,2006,24
Macao,2006,3.4
Macedonia,2006,5.2
Madagascar,2006,0.1
Malawi,2006,0.1
Malaysia,2006,6.5
Maldives,2006,2.9
Mali,2006,0
Malta,2006,6.4
Marshall Islands,2006,1.8
Mauritania,2006,0.5
Mauritius,2006,3.1
Mexico,2006,3.9
Micronesia,2006,1
Moldova,2006,1.4
Monaco,2006,0
Mongolia,2006,3.7
Montenegro,2006,3.9
Morocco,2006,1.6
Mozambique,2006,0.1
Myanmar,2006,0.2
Namibia,2006,1.1
Nepal,2006,0.1
Netherlands,2006,10.2
New Caledonia,2006,11.8
New Zealand,2006,8
Nicaragua,2006,0.8
Niger,2006,0.1
Nigeria,2006,0.7
Northern Mariana Islands,2006,0
Norway,2006,9.5
Oman,2006,15.5
Pakistan,2006,0.9
Palau,2006,10.1
Panama,2006,2.1
Papua New Guinea,2006,0.7
Paraguay,2006,0.7
Peru,2006,1.3
Philippines,2006,0.8
Poland,2006,8.4
Portugal,2006,5.6
Puerto Rico,2006,0
Qatar,2006,58.6
Romania,2006,4.8
Russian Federation,2006,11.7
Rwanda,2006,0.1
Samoa,2006,0.9
San Marino,2006,0
Sao Tome and Principe,2006,0.5
Saudi Arabia,2006,17.1
Senegal,2006,0.4
Serbia,2006,7.3
Seychelles,2006,8.8
Sierra Leone,2006,0.1
Singapore,2006,7
Sint Maarten (Dutch part),2006,0
Slovak Republic,2006,7.2
Slovenia,2006,8.1
Solomon Islands,2006,0.4
Somalia,2006,0.1
South Africa,2006,8.9
South Sudan,2006,0
Spain,2006,7.9
Sri Lanka,2006,0.6
St. Kitts and Nevis,2006,4.7
St. Lucia,2006,2.2
St. Martin (French part),2006,0
St. Vincent and the Grenadines,2006,1.9
Sudan,2006,0.3
Suriname,2006,4.8
Swaziland,2006,0.9
Sweden,2006,5.5
Switzerland,2006,5.6
Syrian Arab Republic,2006,2.8
Tajikistan,2006,0.4
Tanzania,2006,0.1
Thailand,2006,4
Timor-Leste,2006,0.2
Togo,2006,0.2
Tonga,2006,1.7
Trinidad and Tobago,2006,24.7
Tunisia,2006,2.3
Turkey,2006,3.8
Turkmenistan,2006,9.6
Turks and Caicos Islands,2006,5.2
Tuvalu,2006,0
Uganda,2006,0.1
Ukraine,2006,7
United Arab Emirates,2006,25.4
United Kingdom,2006,8.9
United States,2006,19.2
Uruguay,2006,2
Uzbekistan,2006,4.4
Vanuatu,2006,0.2
Venezuela,2006,6.3
Vietnam,2006,1.2
Virgin Islands (U.S.),2006,0
West Bank and Gaza,2006,0.7
Yemen Republic,2006,1
Zambia,2006,0.2
Zimbabwe,2006,0.8
Afghanistan,2007,0.1
Albania,2007,1.4
Algeria,2007,3.2
American Samoa,2007,0
Andorra,2007,6.6
Angola,2007,1.4
Antigua and Barbuda,2007,5.3
Argentina,2007,4.6
Armenia,2007,1.7
Aruba,2007,23.3
Australia,2007,18.1
Austria,2007,8.3
Azerbaijan,2007,4.8
The Bahamas,2007,4.5
Bahrain,2007,21.7
Bangladesh,2007,0.3
Barbados,2007,5.2
Belarus,2007,6.3
Belgium,2007,9.7
Belize,2007,1.5
Benin,2007,0.5
Bermuda,2007,8
Bhutan,2007,0.6
Bolivia,2007,1.3
Bosnia and Herzegovina,2007,7.2
Botswana,2007,2.5
Brazil,2007,1.9
Brunei Darussalam,2007,26.7
Bulgaria,2007,7
Burkina Faso,2007,0.1
Burundi,2007,0
Cabo Verde,2007,0.6
Cambodia,2007,0.3
Cameroon,2007,0.3
Canada,2007,17.1
Cayman Islands,2007,11.9
Central African Republic,2007,0.1
Chad,2007,0
Chile,2007,4.3
China,2007,5.2
Colombia,2007,1.4
Comoros,2007,0.2
Republic Dominican Congo,2007,0
Congo,2007,0.4
Costa Rica,2007,1.9
Cote d'Ivoire,2007,0.4
Croatia,2007,5.5
Cuba,2007,2.4
Curacao,2007,0
Cyprus,2007,7.7
Czech Republic,2007,12
Denmark,2007,9.2
Djibouti,2007,0.6
Dominica,2007,2.1
Dominican Republic,2007,2.2
Ecuador,2007,2.2
Egypt,2007,2.6
El Salvador,2007,1.1
Equatorial Guinea,2007,7.5
Eritrea,2007,0.1
Estonia,2007,14.1
Ethiopia,2007,0.1
Faeroe Islands,2007,15.6
Fiji,2007,1.4
Finland,2007,12.1
France,2007,5.9
French Polynesia,2007,3.2
Gabon,2007,1.6
Gambia,2007,0.3
Georgia,2007,1.4
Germany,2007,9.5
Ghana,2007,0.4
Greece,2007,8.8
Greenland,2007,10.9
Grenada,2007,2.3
Guam,2007,0
Guatemala,2007,0.9
Guinea,2007,0.1
Guinea-Bissau,2007,0.2
Guyana,2007,2
Haiti,2007,0.3
Honduras,2007,1.2
China Hong Kong SAR,2007,5.8
Hungary,2007,5.6
Iceland,2007,7.4
India,2007,1.4
Indonesia,2007,1.6
Iran,2007,7.5
Iraq,2007,2.2
Ireland,2007,10.1
Isle of Man,2007,0
Israel,2007,9.3
Italy,2007,7.9
Jamaica,2007,5.1
Japan,2007,9.8
Jordan,2007,3.8
Kazakhstan,2007,14.2
Kenya,2007,0.3
Kiribati,2007,0.5
Korea,2007,2.9
Republic of Korea,2007,10.2
Kosovo,2007,0
Kuwait,2007,29.4
Kyrgyz Republic,2007,1.1
Lao PDR,2007,0.3
Latvia,2007,3.6
Lebanon,2007,3.6
Lesotho,2007,0
Liberia,2007,0.2
Libya,2007,9.4
Liechtenstein,2007,0
Lithuania,2007,4.7
Luxembourg,2007,22.6
Macao,2007,2.8
Macedonia,2007,5.4
Madagascar,2007,0.1
Malawi,2007,0.1
Malaysia,2007,7.7
Maldives,2007,3
Mali,2007,0
Malta,2007,6.7
Marshall Islands,2007,1.9
Mauritania,2007,0.6
Mauritius,2007,3.1
Mexico,2007,4
Micronesia,2007,0.9
Moldova,2007,1.3
Monaco,2007,0
Mongolia,2007,3.9
Montenegro,2007,3.6
Morocco,2007,1.6
Mozambique,2007,0.1
Myanmar,2007,0.2
Namibia,2007,1.2
Nepal,2007,0.1
Netherlands,2007,10.5
New Caledonia,2007,12.3
New Zealand,2007,8
Nicaragua,2007,0.8
Niger,2007,0.1
Nigeria,2007,0.6
Northern Mariana Islands,2007,0
Norway,2007,9.6
Oman,2007,17.4
Pakistan,2007,1
Palau,2007,10.4
Panama,2007,2
Papua New Guinea,2007,0.8
Paraguay,2007,0.7
Peru,2007,1.5
Philippines,2007,0.8
Poland,2007,8.3
Portugal,2007,5.8
Puerto Rico,2007,0
Qatar,2007,58.3
Romania,2007,4.8
Russian Federation,2007,11.7
Rwanda,2007,0.1
Samoa,2007,0.9
San Marino,2007,0
Sao Tome and Principe,2007,0.5
Saudi Arabia,2007,15.2
Senegal,2007,0.4
Serbia,2007,7.1
Seychelles,2007,7.7
Sierra Leone,2007,0.1
Singapore,2007,3.9
Sint Maarten (Dutch part),2007,0
Slovak Republic,2007,6.8
Slovenia,2007,8
Solomon Islands,2007,0.4
Somalia,2007,0.1
South Africa,2007,9.1
South Sudan,2007,0
Spain,2007,7.9
Sri Lanka,2007,0.6
St. Kitts and Nevis,2007,4.9
St. Lucia,2007,2.3
St. Martin (French part),2007,0
St. Vincent and the Grenadines,2007,1.8
Sudan,2007,0.3
Suriname,2007,4.8
Swaziland,2007,0.9
Sweden,2007,5.3
Switzerland,2007,5
Syrian Arab Republic,2007,2.9
Tajikistan,2007,0.5
Tanzania,2007,0.1
Thailand,2007,4
Timor-Leste,2007,0.2
Togo,2007,0.2
Tonga,2007,1.5
Trinidad and Tobago,2007,35.5
Tunisia,2007,2.3
Turkey,2007,4.1
Turkmenistan,2007,11
Turks and Caicos Islands,2007,5.5
Tuvalu,2007,0
Uganda,2007,0.1
Ukraine,2007,7
United Arab Emirates,2007,24
United Kingdom,2007,8.6
United States,2007,19.3
Uruguay,2007,1.8
Uzbekistan,2007,4.4
Vanuatu,2007,0.4
Venezuela,2007,6.4
Vietnam,2007,1.3
Virgin Islands (U.S.),2007,0
West Bank and Gaza,2007,0.7
Yemen Republic,2007,1
Zambia,2007,0.1
Zimbabwe,2007,0.8
Afghanistan,2008,0.1
Albania,2008,1.4
Algeria,2008,3.2
American Samoa,2008,0
Andorra,2008,6.7
Angola,2008,1.5
Antigua and Barbuda,2008,5.4
Argentina,2008,4.8
Armenia,2008,1.9
Aruba,2008,22.6
Australia,2008,18.2
Austria,2008,8.2
Azerbaijan,2008,5.2
The Bahamas,2008,3
Bahrain,2008,21.8
Bangladesh,2008,0.3
Barbados,2008,5.9
Belarus,2008,6.6
Belgium,2008,9.7
Belize,2008,1.4
Benin,2008,0.5
Bermuda,2008,6
Bhutan,2008,0.6
Bolivia,2008,1.4
Bosnia and Herzegovina,2008,8
Botswana,2008,2.6
Brazil,2008,2
Brunei Darussalam,2008,27.3
Bulgaria,2008,6.8
Burkina Faso,2008,0.1
Burundi,2008,0
Cabo Verde,2008,0.6
Cambodia,2008,0.3
Cameroon,2008,0.3
Canada,2008,16.4
Cayman Islands,2008,11.9
Central African Republic,2008,0.1
Chad,2008,0
Chile,2008,4.2
China,2008,5.3
Colombia,2008,1.5
Comoros,2008,0.2
Republic Dominican Congo,2008,0
Congo,2008,0.4
Costa Rica,2008,1.9
Cote d'Ivoire,2008,0.4
Croatia,2008,5.3
Cuba,2008,2.7
Curacao,2008,0
Cyprus,2008,7.9
Czech Republic,2008,11.3
Denmark,2008,8.5
Djibouti,2008,0.6
Dominica,2008,1.8
Dominican Republic,2008,2.2
Ecuador,2008,2
Egypt,2008,2.6
El Salvador,2008,1.1
Equatorial Guinea,2008,6.8
Eritrea,2008,0.1
Estonia,2008,13.1
Ethiopia,2008,0.1
Faeroe Islands,2008,14.5
Fiji,2008,1.3
Finland,2008,10.7
France,2008,5.8
French Polynesia,2008,3.3
Gabon,2008,1.1
Gambia,2008,0.3
Georgia,2008,1.4
Germany,2008,9.5
Ghana,2008,0.4
Greece,2008,8.7
Greenland,2008,11.3
Grenada,2008,2.5
Guam,2008,0
Guatemala,2008,0.8
Guinea,2008,0.1
Guinea-Bissau,2008,0.1
Guyana,2008,2
Haiti,2008,0.3
Honduras,2008,1.2
China Hong Kong SAR,2008,5.5
Hungary,2008,5.4
Iceland,2008,6.7
India,2008,1.5
Indonesia,2008,1.8
Iran,2008,7.9
Iraq,2008,3.2
Ireland,2008,9.6
Isle of Man,2008,0
Israel,2008,9.7
Italy,2008,7.6
Jamaica,2008,4.5
Japan,2008,9.4
Jordan,2008,3.6
Kazakhstan,2008,14.7
Kenya,2008,0.3
Kiribati,2008,0.6
Korea,2008,3.2
Republic of Korea,2008,10.4
Kosovo,2008,0
Kuwait,2008,29.6
Kyrgyz Republic,2008,1.1
Lao PDR,2008,0.3
Latvia,2008,3.5
Lebanon,2008,4
Lesotho,2008,0
Liberia,2008,0.2
Libya,2008,10.3
Liechtenstein,2008,0
Lithuania,2008,4.7
Luxembourg,2008,22.1
Macao,2008,2.3
Macedonia,2008,5.6
Madagascar,2008,0.1
Malawi,2008,0.1
Malaysia,2008,7.8
Maldives,2008,3.2
Mali,2008,0
Malta,2008,6.3
Marshall Islands,2008,1.9
Mauritania,2008,0.6
Mauritius,2008,3.2
Mexico,2008,4.1
Micronesia,2008,0.9
Moldova,2008,1.3
Monaco,2008,0
Mongolia,2008,3.8
Montenegro,2008,4.4
Morocco,2008,1.6
Mozambique,2008,0.1
Myanmar,2008,0.2
Namibia,2008,1.7
Nepal,2008,0.1
Netherlands,2008,10.6
New Caledonia,2008,13.5
New Zealand,2008,8
Nicaragua,2008,0.8
Niger,2008,0.1
Nigeria,2008,0.6
Northern Mariana Islands,2008,0
Norway,2008,10.6
Oman,2008,15.8
Pakistan,2008,0.9
Palau,2008,10.3
Panama,2008,2.1
Papua New Guinea,2008,0.5
Paraguay,2008,0.7
Peru,2008,1.4
Philippines,2008,0.8
Poland,2008,8.3
Portugal,2008,5.5
Puerto Rico,2008,0
Qatar,2008,50
Romania,2008,4.6
Russian Federation,2008,12.1
Rwanda,2008,0.1
Samoa,2008,0.9
San Marino,2008,0
Sao Tome and Principe,2008,0.5
Saudi Arabia,2008,15.9
Senegal,2008,0.4
Serbia,2008,7.1
Seychelles,2008,8.1
Sierra Leone,2008,0.1
Singapore,2008,4.1
Sint Maarten (Dutch part),2008,0
Slovak Republic,2008,7
Slovenia,2008,8.5
Solomon Islands,2008,0.4
Somalia,2008,0.1
South Africa,2008,9.4
South Sudan,2008,0
Spain,2008,7.2
Sri Lanka,2008,0.6
St. Kitts and Nevis,2008,4.9
St. Lucia,2008,2.3
St. Martin (French part),2008,0
St. Vincent and the Grenadines,2008,1.8
Sudan,2008,0.3
Suriname,2008,4.7
Swaziland,2008,0.9
Sweden,2008,5.3
Switzerland,2008,5.3
Syrian Arab Republic,2008,3.3
Tajikistan,2008,0.4
Tanzania,2008,0.2
Thailand,2008,4
Timor-Leste,2008,0.2
Togo,2008,0.2
Tonga,2008,1.6
Trinidad and Tobago,2008,32.3
Tunisia,2008,2.4
Turkey,2008,4.1
Turkmenistan,2008,11.2
Turks and Caicos Islands,2008,5.3
Tuvalu,2008,0
Uganda,2008,0.1
Ukraine,2008,7
United Arab Emirates,2008,23.4
United Kingdom,2008,8.5
United States,2008,18.6
Uruguay,2008,2.5
Uzbekistan,2008,4.4
Vanuatu,2008,0.4
Venezuela,2008,6.6
Vietnam,2008,1.5
Virgin Islands (U.S.),2008,0
West Bank and Gaza,2008,0.6
Yemen Republic,2008,1
Zambia,2008,0.1
Zimbabwe,2008,0.6
Afghanistan,2009,0.2
Albania,2009,1.3
Algeria,2009,3.4
American Samoa,2009,0
Andorra,2009,6.6
Angola,2009,1.5
Antigua and Barbuda,2009,5.8
Argentina,2009,4.5
Armenia,2009,1.5
Aruba,2009,22.6
Australia,2009,18.2
Austria,2009,7.5
Azerbaijan,2009,4.8
The Bahamas,2009,4.6
Bahrain,2009,20.3
Bangladesh,2009,0.4
Barbados,2009,5.8
Belarus,2009,6.3
Belgium,2009,9.7
Belize,2009,1.4
Benin,2009,0.5
Bermuda,2009,7.1
Bhutan,2009,0.6
Bolivia,2009,1.4
Bosnia and Herzegovina,2009,7.9
Botswana,2009,2.3
Brazil,2009,1.9
Brunei Darussalam,2009,23.1
Bulgaria,2009,5.7
Burkina Faso,2009,0.1
Burundi,2009,0
Cabo Verde,2009,0.6
Cambodia,2009,0.3
Cameroon,2009,0.3
Canada,2009,15.3
Cayman Islands,2009,10.8
Central African Republic,2009,0.1
Chad,2009,0
Chile,2009,4
China,2009,5.8
Colombia,2009,1.5
Comoros,2009,0.2
Republic Dominican Congo,2009,0
Congo,2009,0.5
Costa Rica,2009,1.7
Cote d'Ivoire,2009,0.3
Croatia,2009,4.9
Cuba,2009,2.6
Curacao,2009,0
Cyprus,2009,7.5
Czech Republic,2009,10.4
Denmark,2009,8.1
Djibouti,2009,0.6
Dominica,2009,1.8
Dominican Republic,2009,2.1
Ecuador,2009,2.1
Egypt,2009,2.6
El Salvador,2009,1
Equatorial Guinea,2009,6.8
Eritrea,2009,0.1
Estonia,2009,11
Ethiopia,2009,0.1
Faeroe Islands,2009,13.5
Fiji,2009,1
Finland,2009,10
France,2009,5.5
French Polynesia,2009,3.3
Gabon,2009,0.1
Gambia,2009,0.3
Georgia,2009,1.4
Germany,2009,8.9
Ghana,2009,0.3
Greece,2009,8.5
Greenland,2009,9.9
Grenada,2009,2.4
Guam,2009,0
Guatemala,2009,0.8
Guinea,2009,0.1
Guinea-Bissau,2009,0.2
Guyana,2009,2
Haiti,2009,0.2
Honduras,2009,1.1
China Hong Kong SAR,2009,5.3
Hungary,2009,4.9
Iceland,2009,6.4
India,2009,1.7
Indonesia,2009,1.9
Iran,2009,7.9
Iraq,2009,3.5
Ireland,2009,9
Isle of Man,2009,0
Israel,2009,9
Italy,2009,6.8
Jamaica,2009,3.2
Japan,2009,8.6
Jordan,2009,3.6
Kazakhstan,2009,13.3
Kenya,2009,0.3
Kiribati,2009,0.4
Korea,2009,3.1
Republic of Korea,2009,10.4
Kosovo,2009,0
Kuwait,2009,28.7
Kyrgyz Republic,2009,1.2
Lao PDR,2009,0.3
Latvia,2009,3.2
Lebanon,2009,4.9
Lesotho,2009,0
Liberia,2009,0.1
Libya,2009,11.3
Liechtenstein,2009,0
Lithuania,2009,4
Luxembourg,2009,20.6
Macao,2009,2.5
Macedonia,2009,5.4
Madagascar,2009,0.1
Malawi,2009,0.1
Malaysia,2009,7.3
Maldives,2009,3.3
Mali,2009,0
Malta,2009,6.1
Marshall Islands,2009,2
Mauritania,2009,0.6
Mauritius,2009,3.1
Mexico,2009,3.8
Micronesia,2009,1
Moldova,2009,1.3
Monaco,2009,0
Mongolia,2009,4.1
Montenegro,2009,2.9
Morocco,2009,1.6
Mozambique,2009,0.1
Myanmar,2009,0.2
Namibia,2009,1.5
Nepal,2009,0.1
Netherlands,2009,10.3
New Caledonia,2009,11.6
New Zealand,2009,7.5
Nicaragua,2009,0.8
Niger,2009,0.1
Nigeria,2009,0.5
Northern Mariana Islands,2009,0
Norway,2009,9.7
Oman,2009,15.1
Pakistan,2009,0.9
Palau,2009,10.3
Panama,2009,2.4
Papua New Guinea,2009,0.5
Paraguay,2009,0.7
Peru,2009,1.6
Philippines,2009,0.8
Poland,2009,7.8
Portugal,2009,5.4
Puerto Rico,2009,0
Qatar,2009,42.3
Romania,2009,3.9
Russian Federation,2009,11.1
Rwanda,2009,0.1
Samoa,2009,0.9
San Marino,2009,0
Sao Tome and Principe,2009,0.5
Saudi Arabia,2009,16.1
Senegal,2009,0.5
Serbia,2009,6.3
Seychelles,2009,8.7
Sierra Leone,2009,0.1
Singapore,2009,5
Sint Maarten (Dutch part),2009,0
Slovak Republic,2009,6.3
Slovenia,2009,7.5
Solomon Islands,2009,0.4
Somalia,2009,0.1
South Africa,2009,10.1
South Sudan,2009,0
Spain,2009,6.2
Sri Lanka,2009,0.6
St. Kitts and Nevis,2009,5
St. Lucia,2009,2.2
St. Martin (French part),2009,0
St. Vincent and the Grenadines,2009,1.8
Sudan,2009,0.3
Suriname,2009,4.7
Swaziland,2009,0.9
Sweden,2009,4.7
Switzerland,2009,5.4
Syrian Arab Republic,2009,3
Tajikistan,2009,0.4
Tanzania,2009,0.1
Thailand,2009,4.2
Timor-Leste,2009,0.2
Togo,2009,0.2
Tonga,2009,1.7
Trinidad and Tobago,2009,36.4
Tunisia,2009,2.4
Turkey,2009,3.9
Turkmenistan,2009,9.7
Turks and Caicos Islands,2009,5.3
Tuvalu,2009,0
Uganda,2009,0.1
Ukraine,2009,5.7
United Arab Emirates,2009,21.1
United Kingdom,2009,7.6
United States,2009,17.3
Uruguay,2009,2.3
Uzbekistan,2009,4.2
Vanuatu,2009,0.5
Venezuela,2009,6.5
Vietnam,2009,1.6
Virgin Islands (U.S.),2009,0
West Bank and Gaza,2009,0.6
Yemen Republic,2009,1
Zambia,2009,0.2
Zimbabwe,2009,0.7
