Afghanistan,2005,0
Albania,2005,0
Algeria,2005,400000000
American Samoa,2005,0
Andorra,2005,0
Angola,2005,0
Antigua and Barbuda,2005,0
Argentina,2005,248600000
Armenia,2005,0
Aruba,2005,0
Australia,2005,0
Austria,2005,0
Azerbaijan,2005,0
The Bahamas,2005,0
Bahrain,2005,0
Bangladesh,2005,0
Barbados,2005,0
Belarus,2005,0
Belgium,2005,0
Belize,2005,0
Benin,2005,590000000
Bermuda,2005,0
Bhutan,2005,0
Bolivia,2005,126700000
Bosnia and Herzegovina,2005,0
Botswana,2005,0
Brazil,2005,4215890000
Brunei Darussalam,2005,0
Bulgaria,2005,2342100000
Burkina Faso,2005,0
Burundi,2005,0
Cabo Verde,2005,0
Cambodia,2005,25000000
Cameroon,2005,0
Canada,2005,0
Cayman Islands,2005,0
Central African Republic,2005,0
Chad,2005,0
Chile,2005,311000000
China,2005,1714750000
Colombia,2005,61700000
Comoros,2005,0
Congo,2005,0
Congo Republic,2005,0
Costa Rica,2005,0
Cote d'Ivoire,2005,0
Croatia,2005,0
Cuba,2005,0
Curacao,2005,0
Cyprus,2005,0
Czech Republic,2005,0
Denmark,2005,0
Djibouti,2005,0
Dominica,2005,0
Dominican Republic,2005,42500000
Ecuador,2005,0
Egypt,2005,0
El Salvador,2005,0
Equatorial Guinea,2005,0
Eritrea,2005,0
Estonia,2005,0
Ethiopia,2005,0
Faeroe Islands,2005,0
Fiji,2005,0
Finland,2005,0
France,2005,0
French Polynesia,2005,0
Gabon,2005,0
The Gambia,2005,0
Georgia,2005,0
Germany,2005,0
Ghana,2005,590000000
Greece,2005,0
Greenland,2005,0
Grenada,2005,7500000
Guam,2005,0
Guatemala,2005,41600000
Guinea,2005,0
Guinea-Bissau,2005,0
Guyana,2005,0
Haiti,2005,0
Honduras,2005,0
China Hong Kong SAR,2005,0
Hungary,2005,0
Iceland,2005,0
India,2005,943130000
Indonesia,2005,32000000
Iran,2005,0
Iraq,2005,0
Ireland,2005,0
Isle of Man,2005,0
Israel,2005,0
Italy,2005,0
Jamaica,2005,0
Japan,2005,0
Jordan,2005,0
Kazakhstan,2005,0
Kenya,2005,0
Kiribati,2005,0
Korea,2005,0
Korea Republic,2005,0
Kosovo,2005,0
Kuwait,2005,0
Kyrgyz Republic,2005,0
Lao PDR,2005,1250000000
Latvia,2005,0
Lebanon,2005,0
Lesotho,2005,0
Liberia,2005,0
Libya,2005,0
Liechtenstein,2005,0
Lithuania,2005,115000000
Luxembourg,2005,0
China Macao SAR,2005,0
Macedonia,2005,0
Madagascar,2005,0
Malawi,2005,0
Malaysia,2005,1600000000
Maldives,2005,0
Mali,2005,0
Malta,2005,0
Marshall Islands,2005,0
Mauritania,2005,0
Mauritius,2005,0
Mexico,2005,120000000
Micronesia,2005,0
Moldova,2005,0
Monaco,2005,0
Mongolia,2005,0
Montenegro,2005,0
Morocco,2005,0
Mozambique,2005,0
Myanmar,2005,0
Namibia,2005,0
Nepal,2005,11000000
Netherlands,2005,0
New Caledonia,2005,0
New Zealand,2005,0
Nicaragua,2005,0
Niger,2005,0
Nigeria,2005,828000000
Northern Mariana Islands,2005,0
Norway,2005,0
Oman,2005,0
Pakistan,2005,904600000
Palau,2005,0
Panama,2005,19500000
Papua New Guinea,2005,0
Paraguay,2005,0
Peru,2005,158600000
Philippines,2005,99400000
Poland,2005,0
Portugal,2005,0
Puerto Rico,2005,0
Qatar,2005,0
Romania,2005,1240750000
Russian Federation,2005,3000000
Rwanda,2005,77580000
Samoa,2005,0
San Marino,2005,0
Sao Tome and Principe,2005,0
Saudi Arabia,2005,0
Senegal,2005,52910000
Serbia,2005,0
Seychelles,2005,0
Sierra Leone,2005,0
Singapore,2005,0
Sint Maarten (Dutch part),2005,0
Slovak Republic,2005,0
Slovenia,2005,0
Solomon Islands,2005,0
Somalia,2005,0
South Africa,2005,7000000
South Sudan,2005,0
Spain,2005,0
Sri Lanka,2005,64100000
St. Kitts and Nevis,2005,0
St. Lucia,2005,10000000
St. Martin (French part),2005,0
St. Vincent and the Grenadines,2005,0
Sudan,2005,0
Suriname,2005,0
Swaziland,2005,0
Sweden,2005,0
Switzerland,2005,0
Syrian Arab Republic,2005,0
Tajikistan,2005,0
Tanzania,2005,32000000
